trade_date,open,high,low,close,volume
2014-01-02,3823.3160,3848.2530,3813.8060,3847.8790,3080026000.0000
2014-01-03,3841.2190,3843.3600,3802.9920,3816.3160,3481756100.0000
2014-01-06,3806.5850,3806.5850,3709.9090,3710.8980,3451186600.0000
2014-01-07,3699.9010,3740.7170,3688.4210,3733.6620,2720862100.0000
2014-01-08,3735.5030,3768.5030,3726.1140,3738.2050,3194344100.0000
2014-01-09,3732.8610,3768.6180,3693.6400,3696.0230,3335413500.0000
2014-01-10,3685.0190,3689.1870,3619.6790,3628.6340,3139330300.0000
2014-01-13,3628.5330,3657.6860,3588.7420,3612.0200,2784241500.0000
2014-01-14,3610.6380,3683.5340,3601.9930,3683.5340,2856510400.0000
2014-01-15,3681.0420,3708.5420,3675.6350,3708.1420,2947919300.0000
2014-01-16,3709.3830,3738.0830,3703.1910,3714.3140,2958331200.0000
2014-01-17,3704.3560,3704.9600,3669.5870,3671.9150,2532529300.0000
2014-01-20,3666.3030,3680.0100,3627.6500,3644.1250,2380574700.0000
2014-01-21,3645.3440,3700.5940,3645.3440,3700.1080,2849780400.0000
2014-01-22,3707.0820,3799.0570,3707.0330,3799.0420,4184904700.0000
2014-01-23,3801.7490,3841.0280,3795.4750,3825.4860,4070580200.0000
2014-01-24,3817.0780,3890.5280,3811.1370,3882.6680,4579074800.0000
2014-01-27,3867.5660,3916.6660,3854.8660,3881.9470,4263680500.0000
2014-01-28,3882.0060,3906.5730,3847.0290,3873.8100,3194653300.0000
2014-01-29,3878.3140,3913.1240,3878.3140,3908.4500,3300838100.0000
2014-01-30,3900.0130,3908.6050,3877.5700,3885.4160,2854994000.0000
2014-02-07,3864.8910,3957.9330,3854.9820,3957.6710,3403656600.0000
2014-02-10,3972.8570,4074.6300,3972.8570,4074.6300,5775494900.0000
2014-02-11,4081.5440,4099.7750,4031.9510,4080.3780,6187682100.0000
2014-02-12,4083.8190,4125.7090,4064.3460,4125.4120,5903926600.0000
2014-02-13,4123.2150,4137.5880,4064.4230,4064.4230,6105150000.0000
2014-02-14,4063.7910,4134.2260,4060.0920,4134.1600,5063115800.0000
2014-02-17,4152.0410,4213.1420,4152.0410,4212.7450,6246941700.0000
2014-02-18,4216.6060,4219.0340,4188.0690,4207.6990,6391329600.0000
2014-02-19,4206.0200,4232.8770,4180.9140,4207.9940,6121776100.0000
2014-02-20,4211.6960,4221.6300,4139.1990,4149.0710,6256447800.0000
2014-02-21,4142.3000,4156.7940,4085.8170,4121.9170,4801788300.0000
2014-02-24,4102.5590,4105.7920,4043.5060,4105.7920,5123873300.0000
2014-02-25,4109.4940,4141.2590,3937.1740,3961.4390,6566527100.0000
2014-02-26,3941.1180,3988.0590,3883.9630,3987.4800,4885673600.0000
2014-02-27,3992.7160,4053.8540,3932.3110,3934.7270,5451092300.0000
2014-02-28,3926.7720,3976.1280,3874.7220,3975.9290,4660119900.0000
2014-03-03,3975.5360,4059.1870,3969.2990,4058.7990,5129025700.0000
2014-03-04,4045.2010,4067.4250,4016.0270,4059.5670,5365560900.0000
2014-03-05,4064.9630,4075.7530,4031.9160,4037.7840,5314363100.0000
2014-03-06,4030.6510,4042.2140,3980.2790,4032.7560,4818990300.0000
2014-03-07,4032.1380,4051.0320,3992.9400,4012.4470,4568632000.0000
2014-03-10,3981.5130,3981.5130,3856.1030,3860.2440,4966555400.0000
2014-03-11,3848.1700,3889.2380,3826.9280,3864.2600,3993967800.0000
2014-03-12,3857.5770,3894.0630,3803.7320,3865.6620,4122116000.0000
2014-03-13,3865.9160,3907.8510,3861.7060,3907.1460,3706465800.0000
2014-03-14,3891.1960,3913.5030,3860.3170,3888.9750,3514083300.0000
2014-03-17,3889.9040,3967.8540,3889.9040,3967.1500,3928817100.0000
2014-03-18,3970.6640,4009.3460,3968.8890,3989.2010,4427084200.0000
2014-03-19,3979.2460,3980.7430,3944.0910,3980.6730,4266895800.0000
2014-03-20,3973.1500,4000.3690,3876.4280,3876.5780,4986305600.0000
2014-03-21,3857.8230,3954.2580,3828.9200,3952.3920,5236272100.0000
2014-03-24,3954.0540,3995.8650,3944.6920,3985.8610,5420297800.0000
2014-03-25,3977.8780,4007.9350,3967.6210,3991.1440,5366702600.0000
2014-03-26,3997.1740,4009.8840,3987.1920,4001.5020,4627750200.0000
